scheduled_at,profile,text,media_url
"2026-05-09 15:00:00","instagram","Built a 3D baccarat table in Three.js 💻\nSolo dev, 6 weeks.\n\nLink in bio → baccaratgladiator.com\n\n#threejs #gamedev #devlog #indiedev #buildinpublic #webgame #javascript @gamedevwizards @madebydevs","https://baccaratgladiator.com/shorts/22-3d-table-devlog.mp4"
"2026-05-09 15:00:00","x","Built a 3D baccarat table in @threejs_org. Solo, 6 weeks. Devlog inside.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/22-3d-table-devlog.mp4"
"2026-05-10 15:00:00","instagram","🐱 Stage 09: Cat Cafe\nTokyo paw bets\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage09 #tokyo #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/09-stage-cat-cafe.mp4"
"2026-05-10 15:00:00","x","🐱 Stage 09: Cat Cafe — Tokyo paw bets\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/09-stage-cat-cafe.mp4"
"2026-05-11 15:00:00","instagram","The final boss tier in Baccarat Gladiator 🛡\nClear 9 venues to unlock The Colosseum.\n\nLink in bio → baccaratgladiator.com\n\n#indiegame #baccarat #colosseum #progression #cardgame #devlog @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/04-tier-10-colosseum.mp4"
"2026-05-11 15:00:00","x","The final boss tier in Baccarat Gladiator 🛡 — Imperial Rome, Tyrian purple, The Colosseum.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/04-tier-10-colosseum.mp4"
"2026-05-12 15:00:00","instagram","No ads. No purchases. No signup. No real money. Just baccarat 🎯\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #freegame #indiegame #cardgame #nopaywall @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/21-free-forever.mp4"
"2026-05-12 15:00:00","x","No ads. No purchases. No signup. No real money. Just baccarat.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/21-free-forever.mp4"
"2026-05-13 15:00:00","instagram","🌴 Stage 14: Miami\nSouth Beach · pastel deco\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage14 #miami #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/14-stage-miami.mp4"
"2026-05-13 15:00:00","x","🌴 Stage 14: Miami — South Beach · pastel deco\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/14-stage-miami.mp4"
"2026-05-14 15:00:00","instagram","3 baccarat side bets ranked 🐉🐼🥢\nDragon 7 · Panda 8 · Korean BBQ — all faithful to real EZ Baccarat math.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #ezbaccarat #dragon7 #panda8 #cardgame #strategy #indiegame @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/01-side-bet-showdown.mp4"
"2026-05-14 15:00:00","x","3 baccarat side bets ranked 🐉🐼🥢\nDragon 7 · Panda 8 · Korean BBQ\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/01-side-bet-showdown.mp4"
"2026-05-15 15:00:00","instagram","60 stages in 60 seconds 🎰\nFrom Macau to The Colosseum.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #indiegame #60stages #cardgame #devlog #arcade @indiegamefactory @indiegamelover @madebydevs","https://baccaratgladiator.com/shorts/20-60-stages-in-60-seconds.mp4"
"2026-05-15 15:00:00","x","60 baccarat stages in 60 seconds 🎰\nFrom Macau to The Colosseum, every venue in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/20-60-stages-in-60-seconds.mp4"
"2026-05-16 15:00:00","instagram","🎡 Stage 12: Coachella\nFestival ferris · neon sand\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage12 #festival #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/12-stage-coachella.mp4"
"2026-05-16 15:00:00","x","🎡 Stage 12: Coachella — Festival ferris · neon sand\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/12-stage-coachella.mp4"
"2026-05-17 15:00:00","instagram","Worst beat ever — but it's free, run it back 😩\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #variance #cardgame #indiegame #freegame @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/23-worst-beat-ever.mp4"
"2026-05-17 15:00:00","x","Worst beat ever — but it's free, run it back. Social baccarat at its finest.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/23-worst-beat-ever.mp4"
"2026-05-18 15:00:00","instagram","🇪🇸 Stage 13: Spain\nMadrid · matador red\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage13 #spain #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/13-stage-spain.mp4"
"2026-05-18 15:00:00","x","🇪🇸 Stage 13: Spain — Madrid · matador red\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/13-stage-spain.mp4"
"2026-05-19 15:00:00","instagram","The Korean BBQ rule in baccarat 🥩🥢\nA 2-card 7 vs 2-card 6 stand-off where neither side wins — players just order food.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #weirdrules #cardgame #macau #ezbaccarat #didyouknow @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/02-korean-bbq-rule.mp4"
"2026-05-19 15:00:00","x","The Korean BBQ baccarat rule — when nobody wins, players just order food 🥩🥢\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/02-korean-bbq-rule.mp4"
"2026-05-20 15:00:00","instagram","🇰🇪 Stage 11: Kenya\nSavanna · sunrise pit\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage11 #kenya #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/11-stage-kenya.mp4"
"2026-05-20 15:00:00","x","🇰🇪 Stage 11: Kenya — Savanna · sunrise pit\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/11-stage-kenya.mp4"
"2026-05-21 15:00:00","instagram","EZ Baccarat in 30 seconds 🐉\nThe rules that replaced the 5% banker commission.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #ezbaccarat #howtoplay #cardgame #strategy #beginner @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/03-ez-baccarat-howto.mp4"
"2026-05-21 15:00:00","x","EZ Baccarat in 30 seconds — the rules that replaced the 5% commission 🐉\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/03-ez-baccarat-howto.mp4"
"2026-05-22 15:00:00","instagram","🐉 Stage 16: Imperial Suite\nForbidden City · jade table\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage16 #imperial #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/16-stage-imperial-vip.mp4"
"2026-05-22 15:00:00","x","🐉 Stage 16: Imperial Suite — Forbidden City · jade table\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/16-stage-imperial-vip.mp4"
"2026-05-23 15:00:00","instagram","🇲🇦 Stage 10: Marrakech\nSouk · spice & velvet\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage10 #morocco #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/10-stage-marrakech.mp4"
"2026-05-23 15:00:00","x","🇲🇦 Stage 10: Marrakech — Souk · spice & velvet\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/10-stage-marrakech.mp4"
"2026-05-24 15:00:00","instagram","Built a 60-stage baccarat arcade in 6 weeks 🎮\nSolo dev, browser-based, Three.js. The full timelapse.\n\nLink in bio → baccaratgladiator.com\n\n#indiedev #devlog #gamedev #buildinpublic #threejs #solodev #webgame #indiehackers @indiegamefactory @madebydevs @gamedevwizards","https://baccaratgladiator.com/shorts/05-devlog-6-weeks.mp4"
"2026-05-24 15:00:00","x","Built a 60-stage baccarat arcade in 6 weeks — solo, browser-based, @threejs_org.\n\nFull build at baccaratgladiator.com","https://baccaratgladiator.com/shorts/05-devlog-6-weeks.mp4"
"2026-05-25 15:00:00","instagram","🌺 Stage 15: Hawaii\nBig Island · volcano table\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage15 #hawaii #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/15-stage-hawaii.mp4"
"2026-05-25 15:00:00","x","🌺 Stage 15: Hawaii — Big Island · volcano table\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/15-stage-hawaii.mp4"
"2026-05-26 15:00:00","instagram","🚀 Stage 08: Toy Cosmos\nBedroom rocket · to the moon\n\nOne of 60+ themed baccarat venues. Free play, no real money.\n\nLink in bio → baccaratgladiator.com\n\n#baccarat #stage08 #playful #indiegame #cardgame #arcade @indiegamefactory @indiegamelover","https://baccaratgladiator.com/shorts/08-stage-toy-story.mp4"
"2026-05-26 15:00:00","x","🚀 Stage 08: Toy Cosmos — Bedroom rocket · to the moon\nOne of 60+ themed venues in Baccarat Gladiator.\n\nbaccaratgladiator.com","https://baccaratgladiator.com/shorts/08-stage-toy-story.mp4"
